strs_len,time_lev_cache,time_lev_matix,time_damerau_lev,time_lev_recurs
1,0.0,0.0,0.0,0.0,
2,0.0,0.0,0.0,0.0,
3,0.0,0.0,0.0,0.0,
4,0.0,0.0,0.0,0.0,
5,0.0,0.0,0.0,0.0,
6,0.0,0.0,0.0,0.0021511053199137313,
7,0.0,0.0,0.0,0.011837121212121212,
8,0.0,0.0,0.0,0.065625,
9,0.0,0.0,0.0,0.3546875,
10,0.0,0.0,0.0,2.01875,
11,0.0,0.0,0.0,10.54375,
12,0.0,0.0,0.0,57.0453125,
13,0.0,0.0,0.0,
14,0.0,0.0,0.0,
15,0.0,0.0,0.0,
16,0.0,0.0,0.0,
17,0.0,0.0,0.0,
18,0.0,0.0,0.0,
19,0.0,0.0,0.0,
20,0.0,0.0,0.0002998780543398979,
21,0.0,0.0,0.0,
22,0.0,0.00014862578314354965,0.0,
23,0.0,0.0,0.0,
24,0.00037163722433899087,0.0,0.0,
25,0.0,0.0,0.0004599147947327653,
26,0.0,0.0,0.0,
27,0.00047710801265543373,0.0,0.0,
28,0.0,0.00024358901943063714,0.0,
29,0.0,0.00024870913890830034,0.0,
30,0.0,0.0002874922968571177,0.0,
31,0.0005958435844057533,0.0,0.0,
32,0.0006187213498488247,0.0,0.0,
33,0.0006970967563378722,0.0,0.0,
34,0.0007242672119972734,0.0,0.0,
35,0.0007890026378595654,0.0,0.0,
36,0.0008595452069716775,0.0,0.0,
37,0.0007984327670222573,0.0,0.0,
38,0.0008728070175438597,0.0,0.0,
39,0.0,0.0,0.0010847688711911358,
40,0.0,0.0004831611174894757,0.0,
41,0.001046829601777474,0.0,0.0012079177057356609,
42,0.0,0.0005615319352593108,0.0,
43,0.0012457942495921696,0.0,0.0014313837460928108,
44,0.0,0.0006246922698178237,0.0014505170755170756,
45,0.0011837121212121212,0.0,0.001326618266459765,
46,0.0,0.0006084903369913567,0.0,
47,0.0,0.0006438295889843669,0.0015723528638991067,
48,0.0015129841549295774,0.0,0.001577904343192113,
49,0.0014221601825168107,0.0,0.0016686038320653704,
50,0.001598107704829083,0.0,0.0017489979216152019,
51,0.0015579900288638152,0.0,0.0018483832807570978,
52,0.0016296271278032964,0.0,0.0019413827655310621,
53,0.0017244525547445255,0.0,0.0019438810006761325,
54,0.0017966360856269113,0.0,0.002095067223837209,
55,0.001851303317535545,0.0,0.0020557740436181623,
56,0.001912114501312336,0.0,0.002200193423597679,
57,0.0020602524518706865,0.0,0.0022490530303030305,
58,0.002028644909542391,0.0,0.002393078071672355,
59,0.0021201732226632983,0.0,0.002434354485776805,
60,0.0022631448412698415,0.0,0.00256701564657156,
61,0.0022768214571657324,0.0,0.0026323529411764707,
62,0.0024533991228070174,0.0,0.002702125061064973,
63,0.002449361514751211,0.0,0.002842411422527763,
64,0.002526838739150297,0.0,0.0029403719912472646,
65,0.0026090525328330205,0.0,0.0029832726763717806,
66,0.002676228530534351,0.001354283314669653,0.00308542026482441,
67,0.002751818866031109,0.0013507351315498563,0.0031472816399286986,
68,0.0028020516717325228,0.0,0.0033271827889447235,
69,0.002921678512848551,0.0,0.003345352564102564,
70,0.0029535578489951115,0.0014788776015857285,0.0034263540290620873,
71,0.003139731879787861,0.0015200342900685802,0.003633720930232558,
72,0.0034370920365535246,0.0016770630052969054,0.0038765220700152205,
73,0.003425910865322056,0.0016547771152754117,0.003964369616288176,
74,0.003491793766578249,0.0017345855301698888,0.003946329913180742,
75,0.0036074874910650466,0.001754531388152078,0.004016774454324979,
76,0.0036066150598170303,0.0017501120071684588,0.004071124188311688,
77,0.003787174721189591,0.0019054878048780487,0.004241652211621856,
78,0.0038104089219330854,0.0018575174825174825,0.004207239627434378,
79,0.003964736012608353,0.0019690040650406503,0.004363738738738738,
80,0.004010290556900727,0.0019237987987987988,0.004510921177587844,
81,0.004048582995951417,0.00202648830616584,0.0045902237354085605,
82,0.004163108454312553,0.0020399611856033876,0.0047149658203125,
83,0.004295822102425876,0.0021656643757159222,0.004865464994775339,
84,0.00431131650135257,0.0021820300608828007,0.004928916309012875,
85,0.004464285714285714,0.0022838002436053593,0.0051435237556561085,
86,0.004577170801526718,0.0023035641960307816,0.005046476137624861,
87,0.0047046360917248255,0.002297979797979798,0.0053163109756097565,
88,0.004774305555555556,0.002318382655158241,0.005433965102286402,
89,0.004963033953997809,0.0024568034557235423,0.00554996905940594,
90,0.005046476137624861,0.0025199348607367477,0.005629139072847682,
91,0.005184331797235023,0.0026508011310084826,0.005870286312849162,
92,0.005301339285714286,0.0025507295941632467,0.005961879432624113,
93,0.005269752358490566,0.0025834309133489462,0.006039531478770132,
94,0.005444510739856802,0.002728544776119403,0.006297709923664122,
95,0.005635579427083333,0.002787334352701325,0.005756578947368421,
96,0.005694185323383084,0.00261263353460288,0.006113138686131387,
97,0.005553343949044586,0.0028484366719660837,0.006337753510140405,
98,0.005795686141304348,0.0028153875770020533,0.0065252854812398045,
99,0.005891747237569061,0.0029864958448753464,0.006642641996557659,
100,0.006091485507246377,0.0029403719912472646,0.006696428571428571,
101,0.0060879629629629626,0.0031032229965156795,0.006906702898550725,
102,0.006193693693693694,0.0031988188976377952,0.007154304029304029,
