,Архангельск,Астрахань,Барнаул,Екатеринбург,Иркутск,Калининград,Москва,Санкт-Петербург,Владивосток,Якутск,Сургут,Норильск,Магадан,Воркута,Удачный
Архангельск,0.0,2076.0,2712.0,1382.0,3775.0,1561.0,1006.0,741.0,5846.0,4112.0,1690.0,2092.0,5059.0,1109.0,3146.0
Астрахань,2076.0,0.0,2654.0,1451.0,4036.0,2143.0,1262.0,1916.0,6326.0,5208.0,2326.0,3381.0,6343.0,2531.0,4286.0
Барнаул,2712.0,2654.0,0.0,1521.0,1382.0,4005.0,2947.0,3272.0,3671.0,2835.0,1077.0,1797.0,4008.0,1896.0,2124.0
Екатеринбург,1382.0,1451.0,1521.0,0.0,2819.0,2491.0,1426.0,1797.0,5078.0,3774.0,881.0,1939.0,4896.0,1201.0,2838.0
Иркутск,3775.0,4036.0,1382.0,2819.0,0.0,5225.0,4221.0,4436.0,2290.0,1863.0,2108.0,2076.0,2950.0,2737.0,1634.0
Калининград,1561.0,2143.0,4005.0,2491.0,5225.0,0.0,1091.0,822.0,7378.0,5671.0,3119.0,3653.0,6587.0,2664.0,4706.0
Москва,1006.0,1262.0,2947.0,1426.0,4221.0,1091.0,0.0,654.0,6441.0,4911.0,2151.0,2901.0,5936.0,1903.0,3938.0
Санкт-Петербург,741.0,1916.0,3272.0,1797.0,4436.0,822.0,654.0,0.0,6562.0,4853.0,2329.0,2832.0,5791.0,1842.0,3886.0
Владивосток,5846.0,6326.0,3671.0,5078.0,2290.0,7378.0,6441.0,6562.0,0.0,2109.0,4290.0,3825.0,2237.0,4741.0,2855.0
Якутск,4112.0,5208.0,2835.0,3774.0,1863.0,5671.0,4911.0,4853.0,2109.0,0.0,2893.0,2025.0,1174.0,3029.0,974.0
Сургут,1690.0,2326.0,1077.0,881.0,2108.0,3119.0,2151.0,2329.0,4290.0,2893.0,0.0,1130.0,4017.0,827.0,1960.0
Норильск,2092.0,3381.0,1797.0,1939.0,2076.0,3653.0,2901.0,2832.0,3825.0,2025.0,1130.0,0.0,3041.0,1005.0,1054.0
Магадан,5059.0,6343.0,4008.0,4896.0,2950.0,6587.0,5936.0,5791.0,2237.0,1174.0,4017.0,3041.0,0.0,4033.0,2057.0
Воркута,1109.0,2531.0,1896.0,1201.0,2737.0,2664.0,1903.0,1842.0,4741.0,3029.0,827.0,1005.0,4033.0,0.0,2055.0
Удачный,3146.0,4286.0,2124.0,2838.0,1634.0,4706.0,3938.0,3886.0,2855.0,974.0,1960.0,1054.0,2057.0,2055.0,0.0
